iso-3,2015,2016,2017,2018,2019
MNG,3070000.0,3370000.0,3890000.0,4220000.0,4420000.0
SSD,2900000.0,2700000.0,2790000.0,3670000.0,8450000.0
GAB,2820000.0,2960000.0,2660000.0,2930000.0,72000000.0
GMB,2720000.0,2840000.0,2970000.0,3180000.0,12900000.0
LVA,2590000.0,2650000.0,2460000.0,2069999.9999999998,2069999.9999999998
NAM,2550000.0,2660000.0,2680000.0,2760000.0,2820000.0
BHR,2520000.0,2990000.0,2360000.0,2089999.9999999998,1900000.0
SVN,2350000.0,2390000.0,2440000.0,2470000.0,2510000.0
LSO,2140000.0,2280000.0,2380000.0,30300000.0,48300.0
TTO,2120000.0,2170000.0,2029999.9999999998,1970000.0,2160000.0
MKD,2080000.0,2049999.9999999998,2009999.9999999998,1970000.0,2060000.0
MAC,1900000.0,1970000.0,2049999.9999999998,2180000.0,2069999.9999999998
EST,1900000.0,1900000.0,1900000.0,1920000.0,1950000.0
MUS,1760000.0,1810000.0,1840000.0,1920000.0,4710000.0
TLS,1380000.0,1490000.0,1560000.0,1470000.0,1430000.0
GNB,1240000.0,1290000.0,1430000.0,1480000.0,1590000.0
CAF,1240000.0,1250000.0,1180000.0,1280000.0,1530000.0
CYP,1110000.0,1130000.0,1180000.0,1200000.0,1240000.0
MNE,1010000.0,1040000.0,1040000.0,1130000.0,1150000.0
FJI,966000.0,1040000.0,1030000.0,7150000.0,7150000.0
SXM,941000.0,995000.0,1050000.0,12600000.0,12700000.0
SWZ,941000.0,995000.0,1050000.0,12600000.0,12700000.0
LUX,807000.0,764000.0,794000.0,799000.0,836000.0
SUR,750000.0,807000.0,796000.0,752000.0,814000.0
MDV,740000.0,812000.0,900000.0,858000.0,828000.0
BTN,676000.0,698000.0,731000.0,704000.0,729000.0
CPV,611000.0,602000.0,612000.0,610000.0,596000.0
GUY,543000.0,585000.0,643000.0,20500000.0,20900000.0
GNQ,533000.0,576000.0,566000.0,591000.0,1590000.0
MLT,524000.0,585000.0,605000.0,616000.0,635000.0
ERI,475000.0,506000.0,695000.0,93800000.0,95300000.0
BRN,463000.0,523000.0,545000.0,566000.0,557000.0
SLB,425000.0,417000.0,465000.0,482000.0,478000.0
COM,425000.0,454000.0,469000.0,499000.0,575000.0
ISL,384000.0,402000.0,401000.0,411000.0,413000.0
BRB,335000.0,332000.0,330000.0,329000.0,312000.0
DJI,314000.0,345000.0,373000.0,395000.0,107000000.0
